Sr No,Item No,Unit,Pack Size,Description,Brand,Unit Price Per Case,Unit Price Per Packsize Unit,Category,Max Quantity,Market Price,Market Price Unit
187,2436210,cs,4/5 LB,CHICKEN BREAST BONELESS-SKINLESS 6 OUNCE CONTROLLED VACUUM PACKED,SYS CLS,72.44,,,,,
188,2166429,cs,4/5 LB,CHICKEN BREAST BONELESS-SKINLESS 5 OUNCE CONTROLLED VACUUM PACKED,SYS CLS,69.65,,,,,
189,6556429,cs,32/7-8 OZ,DUCK BREAST BONELESS SKIN-ON 7-8 OZ,MAPLELF,,10.076,,,,
190,9462722,cs,20/3.25AV,CHICKEN CRYOVAC PACK WITHOUT GIBLETS WHOLE,PACKER,,0.922,,,,
191,1930080,cs,2/10 LB,CHICKEN CRYOVAC PACK BREAST BONELESS SKINLESS 7 OZ,PACKER,62.1,,,,,
192,2378271,cs,2/6-8#AV,TURKEY BREAST NATURAL BROWN PAN SKIN-ON,BBRLSUP,,3.98,,,,
193,7041957,cs,18/12 OZ,CHICKEN BREAST AIRLINE SKIN-ON 12 OZ,SYS IMP,,6.401,,,,
194,1624329,cs,36/4 OZ,CHICKEN BREAST CORDON BLEU ROYAL,SYS CLS,49.32,,,,,
195,4903581,cs,1/15 LB,CHICKEN 8 PIECE BREADED HONEY STING PRECOOKED,SYS CLS,45.06,,,,,
196,291833,cs,28/7 OZ,TURKEY BURGER ALL WHITE 7 OZ,PERDUE,36.68,,,,,
197,7041908,cs,24/8OZ AV,CHICKEN BREAST AIRLINE SKIN-ON 8 OZ,SYS IMP,,6.468,,,,
198,9713611,cs,1/9-11#,TURKEY BREAST NATURAL BROWN PAN,BBRLSUP,,4.323,,,,
199,3255015,cs,2/5 LB,CHICKEN TENDERS BREADED HOMESTYLE,OK FOOD,35.52,,,,,
200,7000203,cs,96/5.47OZ,CHICKEN THIGHS INDIVIDUALLY QUICK FROZEN BACK PORTION,SYS CLS,58.34,,,,,
201,9556481,cs,4/10 LB,CHICKEN WING 1ST & 2ND ND 5-8 CONTROLLED VACUUM PACKED,SYS CLS,88.17,,,,,
202,1803287,cs,4/10 LB,CHICKEN LEG QUARTER CONTROLLED VACUUM PACKED SMALL,SYS CLS,27.4,,,,,
203,2378590,cs,2/10LB,CHICKEN CRYOVAC PACK BREAST 6 OZ SUPREME TRIMMED,PACKER,66.88,,,,,
204,6359376,cs,4/10 LB,CHICKEN LEG QUARTER CONTROLLED VACUUM PACKED SMALL FROZEN,SYS CLS,25.91,,,,,
